1/22/2020	Wednesday
2	1/23/2020	Thursday
3	1/24/2020	Friday
4	1/25/2020	Saturday
5	1/26/2020	Sunday
6	1/27/2020	Monday
7	1/28/2020	Tuesday
8	1/29/2020	Wednesday
9	1/30/2020	Thursday
10	1/31/2020	Friday
11	2/1/2020	Saturday
12	2/2/2020	Sunday
13	2/3/2020	Monday
14	2/4/2020	Tuesday
15	2/5/2020	Wednesday
16	2/6/2020	Thursday
17	2/7/2020	Friday
18	2/8/2020	Saturday
19	2/9/2020	Sunday
20	2/10/2020	Monday
21	2/11/2020	Tuesday
22	2/12/2020	Wednesday
23	2/13/2020	Thursday
24	2/14/2020	Friday
25	2/15/2020	Saturday
26	2/16/2020	Sunday
27	2/17/2020	Monday
28	2/18/2020	Tuesday
29	2/19/2020	Wednesday
30	2/20/2020	Thursday
31	2/21/2020	Friday
32	2/22/2020	Saturday
33	2/23/2020	Sunday
34	2/24/2020	Monday
35	2/25/2020	Tuesday
36	2/26/2020	Wednesday
37	2/27/2020	Thursday
38	2/28/2020	Friday
39	2/29/2020	Saturday
40	3/1/2020	Sunday
41	3/2/2020	Monday
42	3/3/2020	Tuesday
43	3/4/2020	Wednesday
44	3/5/2020	Thursday
45	3/6/2020	Friday
46	3/7/2020	Saturday
47	3/8/2020	Sunday
48	3/9/2020	Monday
49	3/10/2020	Tuesday
50	3/11/2020	Wednesday
51	3/12/2020	Thursday
52	3/13/2020	Friday
53	3/14/2020	Saturday
54	3/15/2020	Sunday
55	3/16/2020	Monday
56	3/17/2020	Tuesday
57	3/18/2020	Wednesday
58	3/19/2020	Thursday
59	3/20/2020	Friday
60	3/21/2020	Saturday
61	3/22/2020	Sunday
62	3/23/2020	Monday
63	3/24/2020	Tuesday
64	3/25/2020	Wednesday
65	3/26/2020	Thursday
66	3/27/2020	Friday
67	3/28/2020	Saturday
68	3/29/2020	Sunday
69	3/30/2020	Monday
70	3/31/2020	Tuesday
71	4/1/2020	Wednesday
72	4/2/2020	Thursday
73	4/3/2020	Friday
74	4/4/2020	Saturday
75	4/5/2020	Sunday
76	4/6/2020	Monday
77	4/7/2020	Tuesday
78	4/8/2020	Wednesday
79	4/9/2020	Thursday
80	4/10/2020	Friday
81	4/11/2020	Saturday
82	4/12/2020	Sunday
83	4/13/2020	Monday
84	4/14/2020	Tuesday
85	4/15/2020	Wednesday
86	4/16/2020	Thursday
87	4/17/2020	Friday
88	4/18/2020	Saturday
89	4/19/2020	Sunday
90	4/20/2020	Monday
91	4/21/2020	Tuesday
92	4/22/2020	Wednesday
93	4/23/2020	Thursday
94	4/24/2020	Friday
95	4/25/2020	Saturday
96	4/26/2020	Sunday
97	4/27/2020	Monday
98	4/28/2020	Tuesday
99	4/29/2020	Wednesday
100	4/30/2020	Thursday
101	5/1/2020	Friday
102	5/2/2020	Saturday
103	5/3/2020	Sunday
104	5/4/2020	Monday
105	5/5/2020	Tuesday
106	5/6/2020	Wednesday
107	5/7/2020	Thursday
108	5/8/2020	Friday
109	5/9/2020	Saturday
110	5/10/2020	Sunday
111	5/11/2020	Monday
112	5/12/2020	Tuesday
113	5/13/2020	Wednesday
114	5/14/2020	Thursday
115	5/15/2020	Friday
116	5/16/2020	Saturday
117	5/17/2020	Sunday
118	5/18/2020	Monday
119	5/19/2020	Tuesday
120	5/20/2020	Wednesday
121	5/21/2020	Thursday
122	5/22/2020	Friday
123	5/23/2020	Saturday
124	5/24/2020	Sunday
125	5/25/2020	Monday
126	5/26/2020	Tuesday
127	5/27/2020	Wednesday
128	5/28/2020	Thursday
129	5/29/2020	Friday
130	5/30/2020	Saturday
131	5/31/2020	Sunday
132	6/1/2020	Monday
133	6/2/2020	Tuesday
134	6/3/2020	Wednesday
135	6/4/2020	Thursday
136	6/5/2020	Friday
137	6/6/2020	Saturday
138	6/7/2020	Sunday
139	6/8/2020	Monday
140	6/9/2020	Tuesday
141	6/10/2020	Wednesday
142	6/11/2020	Thursday
143	6/12/2020	Friday
144	6/13/2020	Saturday
145	6/14/2020	Sunday
146	6/15/2020	Monday
147	6/16/2020	Tuesday
148	6/17/2020	Wednesday
149	6/18/2020	Thursday
150	6/19/2020	Friday
151	6/20/2020	Saturday
152	6/21/2020	Sunday
153	6/22/2020	Monday
154	6/23/2020	Tuesday
155	6/24/2020	Wednesday
156	6/25/2020	Thursday
157	6/26/2020	Friday
158	6/27/2020	Saturday
159	6/28/2020	Sunday
160	6/29/2020	Monday
161	6/30/2020	Tuesday
162	7/1/2020	Wednesday
163	7/2/2020	Thursday
164	7/3/2020	Friday
165	7/4/2020	Saturday
166	7/5/2020	Sunday
167	7/6/2020	Monday
168	7/7/2020	Tuesday
169	7/8/2020	Wednesday
170	7/9/2020	Thursday
171	7/10/2020	Friday
172	7/11/2020	Saturday
173	7/12/2020	Sunday
174	7/13/2020	Monday
175	7/14/2020	Tuesday
176	7/15/2020	Wednesday
177	7/16/2020	Thursday
178	7/17/2020	Friday
179	7/18/2020	Saturday
180	7/19/2020	Sunday
181	7/20/2020	Monday
182	7/21/2020	Tuesday
183	7/22/2020	Wednesday
184	7/23/2020	Thursday